#       r             R(r)          X(r)=rR(r)          e
  7.219985e-01   9.580229e-05   6.916911e-05  -4.000000e+02
  7.292547e-01   8.286083e-05   6.042665e-05  -4.000000e+02
  7.365838e-01   7.156312e-05   5.271223e-05  -4.000000e+02
  7.439866e-01   6.171481e-05   4.591499e-05  -4.000000e+02
  7.514638e-01   5.314267e-05   3.993479e-05  -4.000000e+02
  7.590161e-01   4.569246e-05   3.468132e-05  -4.000000e+02
  7.666444e-01   3.922713e-05   3.007326e-05  -4.000000e+02
  7.743493e-01   3.362502e-05   2.603751e-05  -4.000000e+02
  7.821316e-01   2.877836e-05   2.250846e-05  -4.000000e+02
  7.899921e-01   2.459179e-05   1.942732e-05  -4.000000e+02
  7.979317e-01   2.098109e-05   1.674147e-05  -4.000000e+02
  8.059510e-01   1.787198e-05   1.440394e-05  -4.000000e+02
  8.140510e-01   1.519909e-05   1.237283e-05  -4.000000e+02
  8.222323e-01   1.290492e-05   1.061084e-05  -4.000000e+02
  8.304959e-01   1.093903e-05   9.084817e-06  -4.000000e+02
  8.388425e-01   9.257225e-06   7.765354e-06  -4.000000e+02
  8.472730e-01   7.820856e-06   6.626401e-06  -4.000000e+02
  8.557883e-01   6.596171e-06   5.644925e-06  -4.000000e+02
  8.643891e-01   5.553747e-06   4.800598e-06  -4.000000e+02
  8.730763e-01   4.667986e-06   4.075508e-06  -4.000000e+02
  8.818509e-01   3.916648e-06   3.453900e-06  -4.000000e+02
  8.907137e-01   3.280452e-06   2.921943e-06  -4.000000e+02
  8.996655e-01   2.742705e-06   2.467517e-06  -4.000000e+02
  9.087073e-01   2.288986e-06   2.080018e-06  -4.000000e+02
  9.178399e-01   1.906855e-06   1.750188e-06  -4.000000e+02
  9.270644e-01   1.585605e-06   1.469958e-06  -4.000000e+02
  9.363815e-01   1.316035e-06   1.232310e-06  -4.000000e+02
  9.457923e-01   1.090250e-06   1.031150e-06  -4.000000e+02
  9.552977e-01   9.014953e-07   8.611963e-07  -4.000000e+02
  9.648986e-01   7.439967e-07   7.178813e-07  -4.000000e+02
  9.745960e-01   6.128306e-07   5.972622e-07  -4.000000e+02
  9.843908e-01   5.038060e-07   4.959420e-07  -4.000000e+02
  9.942841e-01   4.133626e-07   4.109999e-07  -4.000000e+02
  1.004277e+00   3.384818e-07   3.399295e-07  -4.000000e+02
  1.014370e+00   2.766096e-07   2.805845e-07  -4.000000e+02
  1.024565e+00   2.255891e-07   2.311306e-07  -4.000000e+02
  1.034862e+00   1.836026e-07   1.900033e-07  -4.000000e+02
  1.045262e+00   1.491217e-07   1.558713e-07  -4.000000e+02
  1.055767e+00   1.208634e-07   1.276037e-07  -4.000000e+02
  1.066378e+00   9.775342e-08   1.042421e-07  -4.000000e+02
  1.077095e+00   7.889377e-08   8.497610e-08  -4.000000e+02
  1.087920e+00   6.353571e-08   6.912178e-08  -4.000000e+02
  1.098854e+00   5.105616e-08   5.610326e-08  -4.000000e+02
