#       r             V(r)
  2.67676265e-04  -1.49434243e+05
  2.70366456e-04  -1.47947347e+05
  2.73083684e-04  -1.46475247e+05
  2.75828221e-04  -1.45017794e+05
  2.78600341e-04  -1.43574842e+05
  2.81400321e-04  -1.42146249e+05
  2.84228441e-04  -1.40731870e+05
  2.87084984e-04  -1.39331564e+05
  2.89970236e-04  -1.37945192e+05
  2.92884486e-04  -1.36572615e+05
  2.95828024e-04  -1.35213694e+05
  2.98801145e-04  -1.33868296e+05
  3.01804146e-04  -1.32536284e+05
  3.04837328e-04  -1.31217526e+05
  3.07900994e-04  -1.29911890e+05
  3.10995451e-04  -1.28619245e+05
  3.14121007e-04  -1.27339462e+05
  3.17277976e-04  -1.26072413e+05
  3.20466672e-04  -1.24817972e+05
  3.23687416e-04  -1.23576012e+05
  3.26940529e-04  -1.22346410e+05
  3.30226335e-04  -1.21129043e+05
  3.33545165e-04  -1.19923789e+05
  3.36897350e-04  -1.18730527e+05
  3.40283225e-04  -1.17549139e+05
  3.43703128e-04  -1.16379505e+05
  3.47157402e-04  -1.15221510e+05
  3.50646392e-04  -1.14075037e+05
  3.54170446e-04  -1.12939971e+05
  3.57729919e-04  -1.11816200e+05
  3.61325164e-04  -1.10703610e+05
  3.64956542e-04  -1.09602091e+05
  3.68624417e-04  -1.08511532e+05
  3.72329154e-04  -1.07431824e+05
  3.76071124e-04  -1.06362859e+05
  3.79850701e-04  -1.05304531e+05
  3.83668264e-04  -1.04256734e+05
  3.87524195e-04  -1.03219362e+05
  3.91418877e-04  -1.02192312e+05
  3.95352703e-04  -1.01175481e+05
  3.99326063e-04  -1.00168769e+05
  4.03339357e-04  -9.91720726e+04
  4.07392985e-04  -9.81852940e+04
  4.11487352e-04  -9.72083340e+04
  4.15622869e-04  -9.62410949e+04
  4.19799948e-04  -9.52834800e+04
  4.24019008e-04  -9.43353936e+04
  4.28280470e-04  -9.33967407e+04
  4.32584760e-04  -9.24674276e+04
  4.36932309e-04  -9.15473613e+04
  4.41323552e-04  -9.06364499e+04
  4.45758927e-04  -8.97346021e+04
  4.50238879e-04  -8.88417279e+04
  4.54763855e-04  -8.79577380e+04
  4.59334308e-04  -8.70825438e+04
  4.63950694e-04  -8.62160581e+04
  4.68613476e-04  -8.53581939e+04
  4.73323120e-04  -8.45088657e+04
  4.78080097e-04  -8.36679885e+04
  4.82884881e-04  -8.28354781e+04
  4.87737955e-04  -8.20112513e+04
  4.92639803e-04  -8.11952257e+04
  4.97590915e-04  -8.03873197e+04
  5.02591787e-04  -7.95874525e+04
  5.07642919e-04  -7.87955441e+04
  5.12744815e-04  -7.80115154e+04
  5.17897986e-04  -7.72352878e+04
  5.23102947e-04  -7.64667839e+04
  5.28360219e-04  -7.57059267e+04
  5.33670328e-04  -7.49526401e+04
  5.39033804e-04  -7.42068489e+04
  5.44451183e-04  -7.34684784e+04
  5.49923009e-04  -7.27374548e+04
  5.55449827e-04  -7.20137050e+04
  5.61032190e-04  -7.12971567e+04
  5.66670658e-04  -7.05877381e+04
  5.72365793e-04  -6.98853784e+04
  5.78118164e-04  -6.91900073e+04
  5.83928349e-04  -6.85015552e+04
  5.89796926e-04  -6.78199533e+04
  5.95724484e-04  -6.71451335e+04
